512 10 10 -128
C using both took: 8145
C using both took: 7222
C using both took: 9043
C using both took: 7323
C using both took: 7563
C using both took: 8065
C using both took: 7620
C using both took: 7756
C using both took: 8231
C using both took: 7931
C using both took: 7179
512 10 10 -32
C using both took: 7101
C using both took: 7231
C using both took: 9297
C using both took: 8476
C using both took: 8377
C using both took: 8436
C using both took: 8425
C using both took: 8472
C using both took: 8940
C using both took: 8894
C using both took: 8966
512 10 10 2
C using both took: 7014
C using both took: 6877
C using both took: 5670
C using both took: 5788
C using both took: 6747
C using both took: 5650
C using both took: 5755
C using both took: 6654
C using both took: 5541
C using both took: 5570
C using both took: 5534
512 10 10 32
C using both took: 4013
C using both took: 4035
C using both took: 4252
C using both took: 3930
C using both took: 4531
C using both took: 4085
C using both took: 5212
C using both took: 4578
C using both took: 4320
C using both took: 4551
C using both took: 5005
512 10 10 128
C using both took: 5047
C using both took: 4638
C using both took: 3995
C using both took: 4362
C using both took: 4075
C using both took: 4285
C using both took: 3975
C using both took: 3952
C using both took: 4343
C using both took: 4208
C using both took: 3937
1024 10 10 -128
C using both took: 56504
C using both took: 58872
C using both took: 63392
C using both took: 58508
C using both took: 72755
C using both took: 68519
C using both took: 60448
C using both took: 56947
C using both took: 56632
C using both took: 60490
C using both took: 56949
1024 10 10 -32
C using both took: 56678
C using both took: 56579
C using both took: 56634
C using both took: 56768
C using both took: 56868
C using both took: 58488
C using both took: 55962
C using both took: 74322
C using both took: 69644
C using both took: 74771
C using both took: 71607
1024 10 10 2
C using both took: 47248
C using both took: 34284
C using both took: 38153
C using both took: 33099
C using both took: 47523
C using both took: 41219
C using both took: 35309
C using both took: 34225
C using both took: 34558
C using both took: 35426
C using both took: 36090
1024 10 10 32
C using both took: 23820
C using both took: 22287
C using both took: 24314
C using both took: 18289
C using both took: 19403
C using both took: 19858
C using both took: 22770
C using both took: 19201
C using both took: 17552
C using both took: 20629
C using both took: 18978
1024 10 10 128
C using both took: 23468
C using both took: 20718
C using both took: 21952
C using both took: 24858
C using both took: 24100
C using both took: 18322
C using both took: 17903
C using both took: 23816
C using both took: 23666
C using both took: 19101
C using both took: 17926
2048 10 10 -128
C using both took: 550462
C using both took: 526622
C using both took: 523471
C using both took: 536950
C using both took: 538048
C using both took: 530594
C using both took: 533461
C using both took: 528176
C using both took: 537590
C using both took: 528347
C using both took: 692179
2048 10 10 -32
C using both took: 650868
C using both took: 518520
C using both took: 650941
C using both took: 509810
C using both took: 666415
C using both took: 518654
C using both took: 715827
C using both took: 496716
C using both took: 565047
C using both took: 522798
C using both took: 567694
2048 10 10 2
C using both took: 350492
C using both took: 341524
C using both took: 340595
C using both took: 340678
C using both took: 341323
C using both took: 339209
C using both took: 356780
