512 10 10 -1
y using cuda took: 1518
y using cuda took: 1769
y using cuda took: 1160
y using cuda took: 1526
y using cuda took: 2736
y using cuda took: 1365
y using cuda took: 1148
y using cuda took: 1210
y using cuda took: 1147
y using cuda took: 1140
y using cuda took: 1351
1024 10 10 -1
y using cuda took: 2320
y using cuda took: 2037
y using cuda took: 2106
y using cuda took: 2504
y using cuda took: 2462
y using cuda took: 2190
y using cuda took: 2111
y using cuda took: 2666
y using cuda took: 2351
y using cuda took: 2143
y using cuda took: 2147
2048 10 10 -1
y using cuda took: 3937
y using cuda took: 4300
y using cuda took: 3750
y using cuda took: 3810
y using cuda took: 3754
y using cuda took: 3886
y using cuda took: 3812
y using cuda took: 3730
y using cuda took: 3754
y using cuda took: 3789
y using cuda took: 3868
4096 10 10 -1
y using cuda took: 7250
y using cuda took: 7320
y using cuda took: 7290
y using cuda took: 7268
y using cuda took: 7695
y using cuda took: 7339
y using cuda took: 7238
y using cuda took: 7217
y using cuda took: 7212
y using cuda took: 7329
y using cuda took: 7215
8192 10 10 -1
y using cuda took: 20943
y using cuda took: 20825
y using cuda took: 21033
y using cuda took: 21331
y using cuda took: 21357
y using cuda took: 21328
y using cuda took: 21182
y using cuda took: 21324
y using cuda took: 20801
y using cuda took: 20928
y using cuda took: 20786
