512 10 100 0
y using -tc- took: 22110
y using -tc- took: 21424
y using -tc- took: 22283
y using -tc- took: 23220
y using -tc- took: 22735
y using -tc- took: 24961
y using -tc- took: 24711
y using -tc- took: 25750
y using -tc- took: 26577
y using -tc- took: 25507
y using -tc- took: 24253
512 10 100 1
y using cuda took: 12196
y using cuda took: 10742
y using cuda took: 15117
y using cuda took: 13428
y using cuda took: 12859
y using cuda took: 13453
y using cuda took: 13011
y using cuda took: 13712
y using cuda took: 11388
y using cuda took: 13974
y using cuda took: 13217
512 10 100 -128
y using both took: 44031
y using both took: 43616
y using both took: 42241
y using both took: 42127
y using both took: 36632
y using both took: 36680
y using both took: 37826
y using both took: 38255
y using both took: 39005
y using both took: 45193
y using both took: 36750
512 10 100 -32
y using both took: 37909
y using both took: 38130
y using both took: 39631
y using both took: 37558
y using both took: 38239
y using both took: 38928
y using both took: 37328
y using both took: 37354
y using both took: 38496
y using both took: 36859
y using both took: 37067
512 10 100 2
y using both took: 38270
y using both took: 37606
y using both took: 40125
y using both took: 36597
y using both took: 38475
y using both took: 37500
y using both took: 36992
y using both took: 38052
y using both took: 37135
y using both took: 38018
y using both took: 37705
512 10 100 32
y using both took: 36311
y using both took: 33538
y using both took: 33280
y using both took: 34798
y using both took: 33190
y using both took: 33534
y using both took: 33484
y using both took: 33030
y using both took: 34293
y using both took: 32850
y using both took: 33160
512 10 100 128
y using both took: 33543
y using both took: 32728
y using both took: 32081
y using both took: 32290
y using both took: 32331
y using both took: 34556
y using both took: 32575
y using both took: 32616
y using both took: 32752
y using both took: 31763
y using both took: 41162
1024 10 100 0
y using -tc- took: 40542
y using -tc- took: 39645
y using -tc- took: 41090
y using -tc- took: 39919
y using -tc- took: 39988
y using -tc- took: 39442
y using -tc- took: 40682
y using -tc- took: 40031
y using -tc- took: 40334
y using -tc- took: 40568
y using -tc- took: 40188
1024 10 100 1
y using cuda took: 19742
y using cuda took: 19177
y using cuda took: 20686
y using cuda took: 18586
y using cuda took: 20152
y using cuda took: 19520
y using cuda took: 19157
y using cuda took: 20678
y using cuda took: 20593
y using cuda took: 19691
y using cuda took: 20404
1024 10 100 -128
y using both took: 63973
y using both took: 62444
y using both took: 63983
y using both took: 62360
y using both took: 63519
y using both took: 63285
y using both took: 63102
y using both took: 62777
y using both took: 64938
y using both took: 63052
y using both took: 64698
1024 10 100 -32
y using both took: 63702
y using both took: 64357
y using both took: 63535
y using both took: 64833
y using both took: 63260
y using both took: 62066
y using both took: 62135
y using both took: 71027
y using both took: 63769
y using both took: 63820
y using both took: 62563
1024 10 100 2
y using both took: 63228
y using both took: 62839
y using both took: 64494
y using both took: 63345
y using both took: 64677
y using both took: 62738
y using both took: 63266
y using both took: 65366
y using both took: 63664
y using both took: 67751
y using both took: 64389
1024 10 100 32
y using both took: 61794
y using both took: 60561
y using both took: 60268
y using both took: 60783
y using both took: 61787
y using both took: 60669
y using both took: 60493
y using both took: 60144
y using both took: 61039
y using both took: 60640
y using both took: 61814
1024 10 100 128
y using both took: 58276
y using both took: 56703
y using both took: 57554
y using both took: 57686
y using both took: 58730
y using both took: 58003
y using both took: 58140
y using both took: 58292
y using both took: 57472
