512 10 100 1
y using cuda took: 5806
y using cuda took: 5815
y using cuda took: 5808
y using cuda took: 5808
y using cuda took: 5809
y using cuda took: 5809
y using cuda took: 5809
y using cuda took: 5808
y using cuda took: 5808
y using cuda took: 5820
y using cuda took: 5811
1024 10 100 1
y using cuda took: 11133
y using cuda took: 11135
y using cuda took: 11130
y using cuda took: 11134
y using cuda took: 11139
y using cuda took: 11134
y using cuda took: 11138
y using cuda took: 11130
y using cuda took: 11129
y using cuda took: 11137
y using cuda took: 11136
2048 10 100 1
y using cuda took: 21813
y using cuda took: 21806
y using cuda took: 21808
y using cuda took: 21806
y using cuda took: 21802
y using cuda took: 21804
y using cuda took: 21803
y using cuda took: 21806
y using cuda took: 21802
y using cuda took: 21807
y using cuda took: 21810
4096 10 100 1
y using cuda took: 43146
y using cuda took: 43145
y using cuda took: 43147
y using cuda took: 43143
y using cuda took: 43149
y using cuda took: 43146
y using cuda took: 43147
y using cuda took: 43145
y using cuda took: 43146
y using cuda took: 43149
y using cuda took: 43144
8192 10 100 1
y using cuda took: 137318
y using cuda took: 137034
y using cuda took: 136883
y using cuda took: 137109
y using cuda took: 137064
y using cuda took: 137026
y using cuda took: 137014
y using cuda took: 137208
y using cuda took: 137116
y using cuda took: 137054
y using cuda took: 137074
