512 10 1 0
y using -tc- took: 141
y using -tc- took: 141
y using -tc- took: 142
y using -tc- took: 142
y using -tc- took: 142
y using -tc- took: 141
y using -tc- took: 142
y using -tc- took: 141
y using -tc- took: 141
y using -tc- took: 142
y using -tc- took: 141
1024 10 1 0
y using -tc- took: 272
y using -tc- took: 271
y using -tc- took: 271
y using -tc- took: 270
y using -tc- took: 271
y using -tc- took: 272
y using -tc- took: 271
y using -tc- took: 272
y using -tc- took: 271
y using -tc- took: 271
y using -tc- took: 272
2048 10 1 0
y using -tc- took: 533
y using -tc- took: 532
y using -tc- took: 532
y using -tc- took: 532
y using -tc- took: 533
y using -tc- took: 533
y using -tc- took: 532
y using -tc- took: 534
y using -tc- took: 532
y using -tc- took: 532
y using -tc- took: 531
4096 10 1 0
y using -tc- took: 1068
y using -tc- took: 1068
y using -tc- took: 1068
y using -tc- took: 1068
y using -tc- took: 1069
y using -tc- took: 1068
y using -tc- took: 1068
y using -tc- took: 1069
y using -tc- took: 1068
y using -tc- took: 1067
y using -tc- took: 1066
8192 10 1 0
y using -tc- took: 2169
y using -tc- took: 2176
y using -tc- took: 2170
y using -tc- took: 2179
y using -tc- took: 2180
y using -tc- took: 2177
y using -tc- took: 2169
y using -tc- took: 2178
y using -tc- took: 2179
y using -tc- took: 2181
y using -tc- took: 2181
