512 10 10 0
y using -tc- took: 1414
y using -tc- took: 1413
y using -tc- took: 1412
y using -tc- took: 1417
y using -tc- took: 1416
y using -tc- took: 1415
y using -tc- took: 1423
y using -tc- took: 1412
y using -tc- took: 1412
y using -tc- took: 1411
y using -tc- took: 1416
1024 10 10 0
y using -tc- took: 2718
y using -tc- took: 2716
y using -tc- took: 2717
y using -tc- took: 2717
y using -tc- took: 2712
y using -tc- took: 2721
y using -tc- took: 2717
y using -tc- took: 2718
y using -tc- took: 2717
y using -tc- took: 2722
y using -tc- took: 2722
2048 10 10 0
y using -tc- took: 5326
y using -tc- took: 5329
y using -tc- took: 5326
y using -tc- took: 5336
y using -tc- took: 5341
y using -tc- took: 5331
y using -tc- took: 5326
y using -tc- took: 5333
y using -tc- took: 5322
y using -tc- took: 5328
y using -tc- took: 5323
4096 10 10 0
y using -tc- took: 10671
y using -tc- took: 10688
y using -tc- took: 10676
y using -tc- took: 10682
y using -tc- took: 10683
y using -tc- took: 10687
y using -tc- took: 10683
y using -tc- took: 10688
y using -tc- took: 10682
y using -tc- took: 10680
y using -tc- took: 10673
8192 10 10 0
y using -tc- took: 21704
y using -tc- took: 21699
y using -tc- took: 21698
y using -tc- took: 21686
y using -tc- took: 21704
y using -tc- took: 21698
y using -tc- took: 21692
y using -tc- took: 21698
y using -tc- took: 21689
y using -tc- took: 21694
y using -tc- took: 21699
